"Ajatempel","Kasutajanimi","Nimi","Klass","2. periood hommik 1. valik","2. periood hommik 2. valik","2. periood hommik 3. valik","2. periood õhtu 1. valik","2. periood õhtu 2. valik","2. periood õhtu 3. valik","3. periood hommik 1. valik","3. periood hommik 2. valik","3. periood hommik 3. valik","3. periood õhtu 1. valik","3. periood õhtu 2. valik","3. periood õhtu 3. valik","4. periood hommik 1. valik","4. periood hommik 2. valik","4. periood hommik 3. valik","4. periood õhtu 1. valik","4. periood õhtu 2. valik","4. periood õhtu 3. valik","5. periood hommik 1. valik","5. periood hommik 2. valik","5. periood hommik 3. valik","5. periood õhtu 1. valik","5. periood õhtu 2. valik","5. periood õhtu 3. valik","Praktikumid"
"2020/09/02 9:10:27 PM GMT +3","EAalUCl@fakegmail.com","Lauren 0","12","Programmeerimine keeles Python 1 hommikul","Loogika 2. periood","Värvus ja kompositsioon","Astronoomia","Õpioskused","Inimene ja õigus","Loovkirjutamine","Loovkirjutamine","3D-modelleerimine 3. periood","Ei taha","Sissejuhatus ehitusinseneeriasse","Statistiline maailmapilt","Klassikaline skulptuur","Loominguline joonistamine 2","Matemaatika ajaloo elemente ja rakendusi","Ei taha","Majandusõpe","Majandusõpe","Majandusmatemaatika elemendid","Laboratoorsed tööd bioloogias","Raamatukunst","Projektikirjutamisõpe","Karjääriõpetus","Ajakirjanduse praktika",""
"2020/09/02 10:28:43 PM GMT +3","LuckcnN@fakegmail.com","Taylor 0","11","Programmeerimine keeles Python 1 hommikul","Programmeerimine keeles Python 1 hommikul","Kirjandus ja film","Inimene ja õigus","Programmeerimine keeles Python 1 õhtul","Hiina keel 1","Ei taha","Ladina keel 1","3D-modelleerimine 3. periood","Inimene ja ühiskond 3. periood","Keskkonnakeemia 3. periood","Arvutite riistvara ja lisaseadmed","Praktiline kommunikatsioon","Programmeerimine keeles Python 2","Loominguline joonistamine 2","Arvutivõrkude alused","Meditsiinikursus","Millest ELU koosneb?","Ei taha","Majandusmatemaatika elemendid","Ettevõtlusõpe 5. periood","Karjääriõpetus","Mobiilirakenduste loomine (APP Inventor)","Teadusajalugu 5. periood","Rahvatants;Näitering;Mehhatroonika ja robootika"
"2020/09/02 10:28:47 PM GMT +3","xbzeeEE@fakegmail.com","Sarah 1","11","Joonestamine 2. periood","Orgaaniline arhitektuur","Finantsmõtlemine","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Inimene ja õigus","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Filosoofia 1","Keemilised elemendid","Keemilised elemendid","Veebidisain","Keskkonnakeemia 3. periood","Ei taha","Kujutav geomeetria","Programmeerimine keeles Python 2","Klassikaline skulptuur","Riigikaitse 1","Ei taha","Psühholoogia alused","Liiklusfüüsika","Ettevõtlusõpe 5. periood","Tänavakunst","Teadusajalugu 5. periood","Ajakirjanduse praktika","CAD joonestamine",""
"2020/09/02 10:28:52 PM GMT +3","uBmnmTQ@fakegmail.com","Brianna 2","10","Loogika 2. periood","Keskkonnakeemia 2. periood","Keskkonnakeemia 2. periood","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Linux Raspberry Pi näitel","Keemilised elemendid","Küberkaitse 1","Ladina keel 1","Turundus","Ei taha","Arvutite riistvara ja lisaseadmed","Kujutav geomeetria","Praktiline kommunikatsioon","Matemaatika ajaloo elemente ja rakendusi","Riigikaitse 1","Inimene ja ühiskond 4. periood","Ei taha","Ettevõtlusõpe 5. periood","Majandusmatemaatika elemendid","Globaalne keskkond","CAD joonestamine","Projektikirjutamisõpe","CAD joonestamine",""
"2020/09/02 10:28:57 PM GMT +3","kMCdwod@fakegmail.com","Isabella 3","10","Kirjandus ja film","Ei taha","Loogika 2. periood","Inimene ja õigus","Ei taha","Prantsuse keel 1","Programmeerimine keeles Java 1","Ei taha","Programmeerimine keeles Java 1","Statistiline maailmapilt","Ei taha","Vaimne tervis ja selle hoidmine","Loodusteadused, tehnoloogia ja ühiskond","Joonestamine 4. periood","Praktiline kommunikatsioon","Millest ELU koosneb?","Riigikaitse 1","Arvutivõrkude alused","Majandusmatemaatika elemendid","Ettevõtlusõpe 5. periood","3D-modelleerimine 5. periood","Mobiilirakenduste loomine (APP Inventor)","Riigikaitse 2","Teadusajalugu 5. periood",""
"2020/09/02 10:29:02 PM GMT +3","SmchNlH@fakegmail.com","Alexis 4","12","Programmeerimine keeles Python 1 hommikul","Värvus ja kompositsioon","Joonestamine 2. periood","Soome keel 1","Õpioskused","Astronoomia","Filosoofia 1","Programmeerimine keeles Java 1","Küberkaitse 1","Teadusajalugu 3. periood","Keskkonnakeemia 3. periood","Fotograafia 1","Praktiline kommunikatsioon","Matemaatika ajaloo elemente ja rakendusi","Loominguline joonistamine 2","Inimene ja ühiskond 4. periood","Riigikaitse 1","Ei taha","Majandusmatemaatika elemendid","Raamatukunst","Globaalne keskkond","Teadusajalugu 5. periood","Karjääriõpetus","Ei taha",""
"2020/09/02 10:29:07 PM GMT +3","PTPCcsN@fakegmail.com","Emma 5","12","Geoinformaatika","Ei taha","Globaliseeruv maailm","Programmeerimine keeles Python 1 õhtul","Prantsuse keel 1","Hispaania keel 1","Filosoofia 1","Loovkirjutamine","3D-modelleerimine 3. periood","Teadusajalugu 3. periood","Keskkonnakeemia 3. periood","Inimene ja ühiskond 3. periood","Kujutav geomeetria","Kujutav geomeetria","Matemaatika ajaloo elemente ja rakendusi","Riigikaitse 1","Arvutivõrkude alused","Inimene ja ühiskond 4. periood","Programmeerimine keeles Java 2","3D-modelleerimine 5. periood","Ettevõtlusõpe 5. periood","CAD joonestamine","Projektikirjutamisõpe","Projektikirjutamisõpe",""
"2020/09/02 10:29:12 PM GMT +3","vyGCIlb@fakegmail.com","Grace 6","11","Planimeetria alused","Finantsmõtlemine","Orgaaniline arhitektuur","Labortöid füüsikas 10. ja 11. klassile","Õpioskused","Lähis-Ida 20. sajandi teisest poolest tänapäevani","Küberkaitse 1","Filosoofia 1","Ei taha","Teadusajalugu 3. periood","Fotograafia 1","Turundus","Klassikaline skulptuur","Klassikaline skulptuur","Loomade käitumine 4. periood","Teater Vanemuise kultuuritänavas","Ei taha","Inimene ja ühiskond 4. periood","Raamatukunst","Liiklusfüüsika","Ei taha","Projektikirjutamisõpe","Mobiilirakenduste loomine (APP Inventor)","Mobiilirakenduste loomine (APP Inventor)","Akvaristika"
"2020/09/02 10:29:18 PM GMT +3","hTPlddI@fakegmail.com","Abigail 7","11","Geoinformaatika","Värvus ja kompositsioon","Programmeerimine keeles Python 1 hommikul","Hiina keel 1","Hispaania keel 1","Linux Raspberry Pi näitel","Programmeerimine keeles Java 1","Ajakirjanduse alused","Keemilised elemendid","Ei taha","Sissejuhatus ehitusinseneeriasse","Ei taha","Loodusteadused, tehnoloogia ja ühiskond","Loominguline joonistamine 2","Klassikaline skulptuur","Psühholoogia alused","Riigikaitse 1","Millest ELU koosneb?","Raamatukunst","Globaalne keskkond","Globaalne keskkond","Teadusajalugu 5. periood","Riigikaitse 2","Ei taha",""
"2020/09/02 10:29:23 PM GMT +3","fOplIAI@fakegmail.com","Alexis 8","10","Kirjandus ja film","Planimeetria alused","Joonestamine 2. periood","Labortöid füüsikas 10. ja 11. klassile","Soome keel 1","Õpioskused","Loomade käitumine 3. periood","Ei taha","3D-modelleerimine 3. periood","Keskkonnakeemia 3. periood","Sissejuhatus ehitusinseneeriasse","Teadusajalugu 3. periood","Loomade käitumine 4. periood","Loogika 4. periood","Loominguline joonistamine 2","Arvutivõrkude alused","Arvutivõrkude alused","Teater Vanemuise kultuuritänavas","3D-modelleerimine 5. periood","3D-modelleerimine 5. periood","Laboratoorsed tööd bioloogias","Teadusajalugu 5. periood","Riigikaitse 2","Riigikaitse 2",""
